frame,time_sec,tracker_id,class,confidence,center_x,center_y,pitch_x,pitch_y
27,1.08,128,person,0.574,670.4,240.1,73.02507,45.861977
27,1.08,47,person,0.571,292.7,113.1,46.997513,21.119478
27,1.08,17,person,0.523,715.2,135.0,79.21438,30.134949
27,1.08,10,person,0.497,626.4,264.6,69.4929,48.773003
27,1.08,11,person,0.477,447.3,171.9,58.406044,33.154385
27,1.08,111,person,0.368,505.4,179.7,62.56377,35.06618
27,1.08,7,person,0.354,394.4,150.6,54.670883,29.003489
28,1.12,21,person,0.727,471.5,353.2,58.12343,58.4
28,1.12,109,person,0.721,154.7,229.4,37.189064,38.86578
28,1.12,3,sports ball,0.702,399.0,334.4,53.683594,55.480713
28,1.12,1,person,0.689,762.1,256.9,78.80586,49.109642
28,1.12,17,person,0.663,720.5,135.8,79.58803,30.333664
28,1.12,26,person,0.64,417.4,283.1,55.24057,49.14524
28,1.12,13,person,0.632,452.0,428.9,56.280624,66.581635
28,1.12,31,person,0.622,656.7,270.0,71.407814,49.79979
28,1.12,128,person,0.602,674.0,241.6,73.23533,46.108955
28,1.12,11,person,0.579,450.2,171.3,58.62709,33.090088
28,1.12,47,person,0.569,296.1,114.3,47.264297,21.383623
28,1.12,10,person,0.566,630.3,269.0,69.66408,49.40166
28,1.12,111,person,0.47,510.8,183.0,62.90557,35.64982
29,1.16,31,person,0.733,659.6,270.7,71.58594,49.921787
29,1.16,17,person,0.679,723.9,136.8,79.81112,30.543491
29,1.16,1,person,0.676,766.8,256.5,79.13364,49.103386
29,1.16,109,person,0.601,155.9,230.0,37.27904,38.968277
29,1.16,128,person,0.589,680.6,243.0,73.65245,46.372334
29,1.16,26,person,0.562,421.9,287.9,55.502247,49.823574
